,SITE,SOIL,Ece,EC,Cle,pHe,pH 1:5,OM,OC,Nt,P,P2O5,M,SP,M:SP
MSHM1,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM2,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM3,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM4,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM5,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM6,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM7,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM8,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM9,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM10,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM11,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM12,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM13,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM14,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM15,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM16,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM17,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
