Sample ID ,Eurotiales,Diaporthales,Ophiostomatales,Boletales ,Amphisphaeriales,Saccharomycetales,Hypocreales,Pleosporales,Xylariales,Sordariales,Unknown
MSHM1,0,0,0,0,0,0,0,0,0,0,0
MSHM2,0,0,0,0,0,0,0,0,0,0,0
MSHM3,0,0,0,0,0,0,0,0,0,0,0
MSHM4,0,0,0,0,0,0,0,0,0,0,0
MSHM5,0,0,0,0,0,0,0,0,0,0,0
MSHM6,0,0,0,0,0,0,0,0,0,0,0
MSHM7,0,0,0,0,0,0,0,0,0,0,0
MSHM8,0,0,0,0,0,0,0,0,0,0,0
MSHM9,0,0,0,0,0,0,0,0,0,0,0
MSHM10,0,0,0,0,0,0,0,0,0,0,0
MSHM11,0,0,0,0,0,0,0,0,0,0,0
MSHM12,0,0,0,0,0,0,0,0,0,0,0
MSHM13,0,0,0,0,0,0,0,0,0,0,0
MSHM14,0,0,0,0,0,0,0,0,0,0,0
MSHM15,0,0,0,0,0,0,0,0,0,0,0
MSHM16,0,0,0,0,0,0,0,0,0,0,0
MSHM17,0,0,0,0,0,0,0,0,0,0,0
MSHM18,0,0,0,0,0,0,0,0,0,0,0
MSHM19,0,0,0,0,0,0,0,0,0,0,0
MSHM20,0,0,0,0,0,0,0,0,0,0,0
MSHM21,0,0,0,0,0,0,0,0,0,0,0
MSHM22,0,0,0,0,0,0,0,0,0,0,0
MSHM23,0,0,0,0,0,0,0,0,0,0,0
MSHM24,0,0,0,0,0,0,0,0,0,0,0
MSHM25,0,0,0,0,0,0,0,0,0,0,0
MSHM26,0,0,0,0,0,0,0,0,0,0,0
MSHM27,0,0,0,0,0,0,0,0,0,0,0
MSHM28,0,0,0,0,0,0,0,0,0,0,0
MSHM29,0,0,0,0,0,0,0,0,0,0,0
MSHM30,0,0,0,0,0,0,0,0,0,0,0
MSHM31,0,0,0,0,0,0,0,0,0,0,0
MSHM32,0,0,0,0,0,0,0,0,0,0,0
MSHM33,0,0,0,0,0,0,0,0,0,0,0
MSHM34,0,0,0,0,0,0,0,0,0,0,0
MSHM35,0,0,0,0,0,0,0,0,0,0,0
MSHM36,0,0,0,0,0,0,0,0,0,0,0
MSHM37,0,0,0,0,0,0,0,0,0,0,0
MSHM38,0,0,0,0,0,0,0,0,0,0,0
MSHM39,0,0,0,0,0,0,0,0,0,0,0
MSHM40,0,0,0,0,0,0,0,0,0,0,0
MSHM41,0,0,0,0,0,0,0,0,0,0,0
MSHM42,0,0,0,0,0,0,0,0,0,0,0
MSHM43,0,0,0,0,0,0,0,0,0,0,0
MSHM44,0,0,0,0,0,0,0,0,0,0,0
MSHM45,0,0,0,0,0,0,0,0,0,0,0
MSHM46,0,0,0,0,0,0,0,0,0,0,0
MSHM47,0,0,0,0,0,0,0,0,0,0,0
MSHM48,0,0,0,0,0,0,0,0,0,0,0
MSHM49,0,0,0,0,0,0,0,0,0,0,0
MSHM50,0,0,0,0,0,0,0,0,0,0,0
MSHM51,0,0,0,0,0,0,0,0,0,0,0
MSHM52,0,0,0,0,0,0,0,0,0,0,0
MSHM53,0,0,0,0,0,0,0,0,0,0,0
MSHM54,0,0,0,0,0,0,0,0,0,0,0
MSHM55,0,0,0,0,0,0,0,0,0,0,0
MSHM56,0,0,0,0,0,0,0,0,0,0,0
MSHM57,0,0,0,0,0,0,0,0,0,0,0
MSHM58,0,0,0,0,0,0,0,0,0,0,0
MSHM59,0,0,0,0,0,0,0,0,0,0,0
MSHM60,0,0,0,0,0,0,0,0,0,0,0
MSHM61,0,0,0,0,0,0,0,0,0,0,0
MSHM62,0,0,0,0,0,0,0,0,0,0,0
MSHM63,0,0,0,0,0,0,0,0,0,0,0
MSHM64,0,0,0,0,0,0,0,0,0,0,0
MSHM65,0,0,0,0,0,0,0,0,0,0,0
MSHM66,0,0,0,0,0,0,0,0,0,0,0
MSHM67,0,0,0,0,0,0,0,0,0,0,0
MSHM68,0,0,0,0,0,0,0,0,0,0,0
MSHM69,0,0,0,0,0,0,0,0,0,0,0
MSHM70,0,0,0,0,0,0,0,0,0,0,0
MSHM71,0,0,0,0,0,0,0,0,0,0,0
MSHM72,0,0,0,0,0,0,0,0,0,0,0
MSHM73,0,0,0,0,0,0,0,0,0,0,0
MSHM74,0,0,0,0,0,0,0,0,0,0,0
MSHM75,0,0,0,0,0,0,0,0,0,0,0
MSHM76,0,0,0,0,0,0,0,0,0,0,0
MSHM77,0,0,0,0,0,0,0,0,0,0,0
MSHM78,0,0,0,0,0,0,0,0,0,0,0
MSHM79,0,0,0,0,0,0,0,0,0,0,0
MSHM80,0,0,0,0,0,0,0,0,0,0,0
MSHM81,0,0,0,0,0,0,0,0,0,0,0
