R,Host,Fungi,Drought,salinity,Lshoot,Wshoot,Wdshoot,Lroot,Wroot,Wdroot,S
NC-D1-S1-1,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity1,163,146.71,23.51,51,53.62,7.5,50.9
NC-D1-S2-2,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity2,159,140.16,22.35,50,53.24,7.33,47.6
NC-D1-S3-3,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity3,153,135.11,22.01,50,51.28,6.62,46.2
NC-D2-S1-4,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity1,160,142.88,21.74,48,50.83,6.61,45.3
NC-D2-S2-5,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity2,152,133.4,20.24,48,48.32,6.32,41.6
NC-D2-S3-6,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity3,142,120.67,17.78,47,45.69,5.84,36.7
NC-D3-S1-7,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity1,145,125.33,17.38,48,44.31,5.41,35.6
NC-D3-S2-8,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity2,131,115.73,15.87,47,40.74,4.93,33.8
NC-D3-S3-9,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity3,112,93.14,12.32,46,37.52,4.55,32.9
NC-D4-S1-10,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity1,117,98.64,12.99,45,32.41,3.89,29.1
NC-D4-S2-11,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity2,105,89.11,11.33,45,28.64,3.41,27.4
NC-D4-S3-12,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity3,91,74.39,9.39,45,24.55,2.95,24.9
NC-D1-S1-13,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity1,165,146.71,23.51,53,55.17,7.61,51.2
NC-D1-S2-14,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity2,164,140.16,22.57,52,55.14,7.45,48.9
NC-D1-S3-15,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity3,156,135.92,22.24,52,52.33,6.74,47.5
NC-D2-S1-16,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity1,164,142.88,22.65,51,52.32,6.8,46.9
NC-D2-S2-17,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity2,155,133.4,20.65,49,50.73,6.57,42.5
NC-D2-S3-18,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity3,145,120.67,18.12,49,47.23,5.93,37.9
NC-D3-S1-19,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity1,149,125.33,17.63,48,46.32,5.49,36.6
NC-D3-S2-20,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity2,134,115.73,16.01,48,42.65,5.14,34.5
NC-D3-S3-21,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity3,115,93.14,12.57,47,39.57,4.78,33.7
NC-D4-S1-22,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity1,120,92.54,13.14,46,33.98,4.13,30.3
NC-D4-S2-23,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity2,108,77.26,11.56,46,30.21,3.59,28.6
NC-D4-S3-24,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity3,94,74.39,9.68,45,26.35,3.26,25.6
NC-D1-S1-25,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity1,159,145.58,23.14,54,51.09,7.31,50.1
NC-D1-S2-26,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity2,155,137.94,22.15,52,51.75,7.19,47.2
NC-D1-S3-27,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity3,150,133.77,21.89,52,51.28,6.41,42.5
NC-D2-S1-28,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity1,156,139.58,21.32,52,48.26,6.39,43.8
NC-D2-S2-29,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity2,149,130.57,20.01,50,46.16,6.21,39.5
NC-D2-S3-30,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity3,139,117.26,17.42,49,43.59,5.62,33.8
NC-D3-S1-31,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity1,141,124.36,17.1,47,43.12,5.24,33.2
NC-D3-S2-32,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity2,128,111.97,15.68,48,37.46,4.75,31.8
NC-D3-S3-33,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity3,109,90.57,12.02,46,35.23,4.35,31.5
NC-D4-S1-34,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity1,114,86.29,12.71,45,30.28,3.64,28.9
NC-D4-S2-35,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity2,102,71.22,11.16,45,26.34,3.26,26.9
NC-D4-S3-36,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity3,87,74.39,9.14,43,22.19,2.73,23.9
NG-D1-S1-37,Solanum lycopersicum,Neocamarosporium goegapense,Drought1,salinity1,159,138.91,22.31,49,52.93,7.38,49.6
NG-D1-S1-38,Solanum lycopersicum,Neocamarosporium goegapense,Drought1,salinity2,153,134.16,21.54,49,51.81,7.18,48.3
NG-D1-S1-39,Solanum lycopersicum,Neocamarosporium goegapense,Drought1,salinity3,144,130.33,20.04,48,50.85,7.01,44.2
NG-D1-S1-40,Solanum lycopersicum,Neocamarosporium goegapense,Drought2,salinity1,152,133.79,21.06,48,48.69,6.48,43.5
NG-D1-S1-41,Solanum lycopersicum,Neocamarosporium goegapense,Drought2,salinity2,140,122.12,19.05,47,48.01,6.38,39.7
NG-D1-S1-42,Solanum lycopersicum,Neocamarosporium goegapense,Drought2,salinity3,127,116.78,16.11,47,44.11,5.81,37.5
NG-D1-S1-43,Solanum lycopersicum,Neocamarosporium goegapense,Drought3,salinity1,130,111.36,15.72,46,43.61,5.37,34.6
NG-D1-S1-44,Solanum lycopersicum,Neocamarosporium goegapense,Drought3,salinity2,119,100.51,13.95,45,38.95,4.75,27.9
