tiplab,val
A4_LRE_wh64_Neocamarosporium_chichastianum,10
A27_SRE_wh19_Neocamarosporium_goegapense,12
A16_PSE_se8_Alternaria_chlamydospora,3
A19_HAE_se5_Camarosporomyces_flavigenus,32
A35_LAE_se3_Murisphaeosphaeria_ambrosiae,48
A34_LAE_se3_Neosetophoma_lunariae,25
A17_LDE_se7_Coniothyrium_aleuritis,45
A8_SIE_sh1_Briansuttonomyces_eucalypti,12
A9_RAE_sh12_Acrocalymma_vagum,12
A26_HAE_se1_Acrocalymma_sp,14
A6_THEwe10_Aporospora_terricola,2
A41_SRE_wh16_,32
A28_APE_sh6_Dictyosporium_digitatum,41
A5_SRE_wh22_Preussia_sp,20
A22_HAE_wh26_Preussia_sp,3
A45_SRE_sh9_Preussia_intermedia,4
A37_SRE_wh30_Preussia_grandispora,7
A36_LAE_sh1_Acrocalymma_sp,8
A2_TPEsh8_Humicola_fuscoatra,42
A20_HAE_ss4_Cytospora_chrysosperma,65
A46_SRE_sh4_Penicillium_sp,68
A13_PSE_ss7_Penicillium_sp,35
A44_SRE_we10_pichia_kudriavzevii,19
A23_HAE_wh10_Raffaelea_montetyi,42
A39_SRE_ws8_Botryotrichum_murorum,78
A40_SRE_ws10_,32
A47_SRE_sh3_Trichoderma_rifaii,45
A49_SRE_sh5_Fusarium_redolens,87
A7_THE_ss3_Fusarium_redolens,21
A30_APE_se3_Dactylonectria_macrodidyma,32
A43_SRE_we6_Fusariella_sinensis,44
A32_SRE_wh18_Preussia_sp,14
A10_PSE_wh14_Preussia_sp,12
A12_PSE_wh66_Comoclathris_italica,13
A24_HAE_wh65_Coniophora_marmorata,14
A38_SRE_ss4_Neocamarosporium_sp,15
A29_APEsh8_Pestalotiopsis_vismiae,16
A31_APE_sh5_Nigrospora_oryzae,18
A3_PFE_SH7_Rosellinia_limonispora,41
A11_PSE_wh40_Dimorphosporicola_tragani,42
A21_HAE_we5_Coniolariella_sp,47
A33_LAE_sh5_Coniolariella_ershadii,42
A1_APEse5_Staphylotrichum_coccosporum,49
A48_SRE_sh7_Chaetomium_cucumericola,20
A14_PSE_we4_Chaetomium_globosum,10
A25_HAE_se9_Chaetomium_nigricolor,30
A42_SRE_wh13_,40
A18_LAE_se5_Sordaria_humana,42
A15_PSE_se8_Podospora_minicauda,43
