"","SITE","SOIL","TIME","HOST","TISSUE","TEMP","MEDIA","IR","season"
"MSHM289","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA",1,"summer"
"MSHM290","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA",2,"summer"
"MSHM291","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA",1,"summer"
"MSHM292","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA",2,"summer"
"MSHM293","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA",0,"summer"
"MSHM294","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA",1,"summer"
"MSHM295","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA+Plant",2,"summer"
"MSHM296","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA+Plant",2,"summer"
"MSHM297","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA+Plant",4,"summer"
"MSHM298","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA+Plant",0,"summer"
"MSHM299","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA+Plant",3,"summer"
"MSHM300","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA+Plant",4,"summer"
"MSHM301","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA",1,"summer"
"MSHM302","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA",1,"summer"
"MSHM303","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA",3,"summer"
"MSHM304","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA",0,"summer"
"MSHM305","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA",0,"summer"
"MSHM306","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA",1,"summer"
"MSHM307","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA+Plant",0,"summer"
"MSHM308","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA+Plant",1,"summer"
"MSHM309","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA+Plant",0,"summer"
"MSHM310","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA+Plant",1,"summer"
"MSHM311","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA+Plant",1,"summer"
"MSHM312","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA+Plant",1,"summer"
"MSHM313","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM314","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM315","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM316","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM317","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM318","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM319","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA",0,"summer"
"MSHM320","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA",0,"summer"
"MSHM321","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA",0,"summer"
"MSHM322","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA",0,"summer"
"MSHM323","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA",0,"summer"
"MSHM324","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA",0,"summer"
"MSHM325","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA+Plant",0,"summer"
"MSHM326","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA+Plant",0,"summer"
"MSHM327","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA+Plant",0,"summer"
"MSHM328","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA+Plant",0,"summer"
"MSHM329","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA+Plant",0,"summer"
"MSHM330","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA+Plant",0,"summer"
"MSHM331","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA+Plant",0,"summer"
"MSHM332","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA+Plant",0,"summer"
"MSHM333","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA+Plant",0,"summer"
"MSHM334","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA+Plant",0,"summer"
"MSHM335","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA+Plant",0,"summer"
"MSHM336","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA+Plant",0,"summer"
"MSHM337","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA",1,"summer"
"MSHM338","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA",4,"summer"
"MSHM339","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA",1,"summer"
"MSHM340","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA",2,"summer"
"MSHM341","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA",1,"summer"
"MSHM342","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA",1,"summer"
"MSHM343","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA+Plant",1,"summer"
"MSHM344","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA+Plant",5,"summer"
"MSHM345","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",23,"PDA+Plant",1,"summer"
"MSHM346","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA+Plant",2,"summer"
"MSHM347","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA+Plant",5,"summer"
"MSHM348","Hoze Soltan Lake","Saline","S2016","A.pers","Leaf",30,"PDA+Plant",1,"summer"
"MSHM349","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA",1,"summer"
"MSHM350","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA",1,"summer"
"MSHM351","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA",1,"summer"
"MSHM352","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA",3,"summer"
"MSHM353","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA",2,"summer"
"MSHM354","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA",1,"summer"
"MSHM355","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA+Plant",2,"summer"
"MSHM356","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA+Plant",0,"summer"
"MSHM357","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",23,"PDA+Plant",1,"summer"
"MSHM358","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA+Plant",1,"summer"
"MSHM359","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA+Plant",1,"summer"
"MSHM360","Hoze Soltan Lake","Saline","S2016","A.pers","Branch",30,"PDA+Plant",5,"summer"
"MSHM361","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM362","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM363","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM364","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM365","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM366","Hoze Soltan Lake","Saline","S2016","A.pers","Root",23,"PDA",0,"summer"
"MSHM367","Hoze Soltan Lake","Saline","S2016","A.pers","Root",30,"PDA",0,"summer"
