Host,Frequency,OTU
A. persarum,0,TPEsh28.Humicola.fuscoatra
A. persarum,0,PFE.sh7..Rosellinia.limonispora
A. persarum,0,LREwh64..Neocamarosporium.chichastianum
A. persarum,0,SIE.sh1.Briansuttonomyces.eucalypti
A. persarum,0,RAE.sh12.Acrocalymma.vagum
A. persarum,0,PSE.wh40.Dimorphosporicola.tragani
A. persarum,0,PSE.we4..Chaetomium.globosum
A. persarum,0,LAE.se5.Sordaria.humana
A. persarum,0,HAE.se5.Camarosporomyces.flavigenus
A. persarum,0,HAE.we5.Coniolariella.sp.
A. persarum,0,HAE.wh26.Preussia.sp.
A. persarum,0,HAE.wh10.Raffaelea.montetyi
A. persarum,0,HAE.wh65.Coniophora.marmorata
A. persarum,0,SRE.wh16.Paracamarosporium.hawaiiense
A. persarum,0,SRE.we6.Fusariella.sinensis
A. persarum,567,other
A. sieberi,0,TPEsh28.Humicola.fuscoatra
A. sieberi,0,PFE.sh7..Rosellinia.limonispora
A. sieberi,220,LREwh64..Neocamarosporium.chichastianum
A. sieberi,0,SIE.sh1.Briansuttonomyces.eucalypti
A. sieberi,352,RAE.sh12.Acrocalymma.vagum
A. sieberi,0,PSE.wh40.Dimorphosporicola.tragani
A. sieberi,0,PSE.we4..Chaetomium.globosum
A. sieberi,0,LAE.se5.Sordaria.humana
A. sieberi,0,HAE.se5.Camarosporomyces.flavigenus
A. sieberi,0,HAE.we5.Coniolariella.sp.
A. sieberi,0,HAE.wh26.Preussia.sp.
A. sieberi,0,HAE.wh10.Raffaelea.montetyi
A. sieberi,0,HAE.wh65.Coniophora.marmorata
A. sieberi,0,SRE.wh16.Paracamarosporium.hawaiiense
A. sieberi,0,SRE.we6.Fusariella.sinensis
A. sieberi,0,other
H. ammodendron,196,TPEsh28.Humicola.fuscoatra
H. ammodendron,311,PFE.sh7..Rosellinia.limonispora
H. ammodendron,219,LREwh64..Neocamarosporium.chichastianum
H. ammodendron,0,SIE.sh1.Briansuttonomyces.eucalypti
H. ammodendron,0,RAE.sh12.Acrocalymma.vagum
H. ammodendron,0,PSE.wh40.Dimorphosporicola.tragani
H. ammodendron,0,PSE.we4..Chaetomium.globosum
H. ammodendron,0,LAE.se5.Sordaria.humana
H. ammodendron,500,HAE.se5.Camarosporomyces.flavigenus
H. ammodendron,269,HAE.we5.Coniolariella.sp.
H. ammodendron,394,HAE.wh26.Preussia.sp.
H. ammodendron,589,HAE.wh10.Raffaelea.montetyi
H. ammodendron,301,HAE.wh65.Coniophora.marmorata
H. ammodendron,0,SRE.wh16.Paracamarosporium.hawaiiense
H. ammodendron,0,SRE.we6.Fusariella.sinensis
H. ammodendron,442,other
L. acunthodes,0,TPEsh28.Humicola.fuscoatra
L. acunthodes,0,PFE.sh7..Rosellinia.limonispora
L. acunthodes,0,LREwh64..Neocamarosporium.chichastianum
L. acunthodes,0,SIE.sh1.Briansuttonomyces.eucalypti
L. acunthodes,0,RAE.sh12.Acrocalymma.vagum
L. acunthodes,0,PSE.wh40.Dimorphosporicola.tragani
L. acunthodes,0,PSE.we4..Chaetomium.globosum
L. acunthodes,272,LAE.se5.Sordaria.humana
L. acunthodes,0,HAE.se5.Camarosporomyces.flavigenus
L. acunthodes,0,HAE.we5.Coniolariella.sp.
L. acunthodes,0,HAE.wh26.Preussia.sp.
L. acunthodes,0,HAE.wh10.Raffaelea.montetyi
L. acunthodes,0,HAE.wh65.Coniophora.marmorata
L. acunthodes,0,SRE.wh16.Paracamarosporium.hawaiiense
L. acunthodes,0,SRE.we6.Fusariella.sinensis
L. acunthodes,564,other
P. stephaniana,0,TPEsh28.Humicola.fuscoatra
