"","SITE","SOIL","Ece","EC","Cle","pHe","pH.1.5","OM","OC","Nt","P","P2O5","M","SP","M.SP"
"MSHM289","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM290","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM291","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM292","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM293","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM294","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM295","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM296","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM297","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM298","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM299","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM300","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM301","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM302","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM303","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM304","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM305","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM306","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM307","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM308","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM309","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM310","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM311","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM312","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM313","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
