"","x"
"1","A4_LRE_wh64_Neocamarosporium_chichastianum"
"2","A4_LRE_wh64_Neocamarosporium_chichastianum"
"3","A27_SRE_wh19_Neocamarosporium_goegapense"
"4","A27_SRE_wh19_Neocamarosporium_goegapense"
"5","A16_PSE_se8_Alternaria_chlamydospora"
"6","A16_PSE_se8_Alternaria_chlamydospora"
"7","A19_HAE_se5_Camarosporomyces_flavigenus"
"8","A19_HAE_se5_Camarosporomyces_flavigenus"
"9","A35_LAE_se3_Murisphaeosphaeria_ambrosiae"
"10","A35_LAE_se3_Murisphaeosphaeria_ambrosiae"
"11","A34_LAE_se3_Neosetophoma_lunariae"
"12","A34_LAE_se3_Neosetophoma_lunariae"
"13","A17_LDE_se7_Coniothyrium_aleuritis"
"14","A17_LDE_se7_Coniothyrium_aleuritis"
"15","A8_SIE_sh1_Briansuttonomyces_eucalypti"
"16","A8_SIE_sh1_Briansuttonomyces_eucalypti"
"17","A9_RAE_sh12_Acrocalymma_vagum"
"18","A9_RAE_sh12_Acrocalymma_vagum"
"19","A26_HAE_se1_Acrocalymma_sp"
"20","A26_HAE_se1_Acrocalymma_sp"
"21","A6_THEwe10_Aporospora_terricola"
"22","A6_THEwe10_Aporospora_terricola"
"23","A41_SRE_wh16_"
"24","A41_SRE_wh16_"
"25","A28_APE_sh6_Dictyosporium_digitatum"
"26","A28_APE_sh6_Dictyosporium_digitatum"
"27","A5_SRE_wh22_Preussia_sp"
"28","A5_SRE_wh22_Preussia_sp"
"29","A22_HAE_wh26_Preussia_sp"
"30","A22_HAE_wh26_Preussia_sp"
"31","A45_SRE_sh9_Preussia_intermedia"
"32","A45_SRE_sh9_Preussia_intermedia"
"33","A37_SRE_wh30_Preussia_grandispora"
"34","A37_SRE_wh30_Preussia_grandispora"
"35","A36_LAE_sh1_Acrocalymma_sp"
"36","A36_LAE_sh1_Acrocalymma_sp"
"37","A2_TPEsh8_Humicola_fuscoatra"
"38","A2_TPEsh8_Humicola_fuscoatra"
"39","A20_HAE_ss4_Cytospora_chrysosperma"
"40","A20_HAE_ss4_Cytospora_chrysosperma"
"41","A46_SRE_sh4_Penicillium_sp"
"42","A46_SRE_sh4_Penicillium_sp"
"43","A13_PSE_ss7_Penicillium_sp"
"44","A13_PSE_ss7_Penicillium_sp"
"45","A44_SRE_we10_pichia_kudriavzevii"
"46","A44_SRE_we10_pichia_kudriavzevii"
"47","A23_HAE_wh10_Raffaelea_montetyi"
"48","A23_HAE_wh10_Raffaelea_montetyi"
"49","A39_SRE_ws8_Botryotrichum_murorum"
"50","A39_SRE_ws8_Botryotrichum_murorum"
"51","A40_SRE_ws10_"
"52","A40_SRE_ws10_"
"53","A47_SRE_sh3_Trichoderma_rifaii"
"54","A47_SRE_sh3_Trichoderma_rifaii"
"55","A49_SRE_sh5_Fusarium_redolens"
"56","A49_SRE_sh5_Fusarium_redolens"
"57","A7_THE_ss3_Fusarium_redolens"
"58","A7_THE_ss3_Fusarium_redolens"
"59","A30_APE_se3_Dactylonectria_macrodidyma"
"60","A30_APE_se3_Dactylonectria_macrodidyma"
"61","A43_SRE_we6_Fusariella_sinensis"
"62","A43_SRE_we6_Fusariella_sinensis"
"63","A32_SRE_wh18_Preussia_sp"
"64","A32_SRE_wh18_Preussia_sp"
"65","A10_PSE_wh14_Preussia_sp"
"66","A10_PSE_wh14_Preussia_sp"
"67","A12_PSE_wh66_Comoclathris_italica"
"68","A12_PSE_wh66_Comoclathris_italica"
"69","A24_HAE_wh65_Coniophora_marmorata"
"70","A24_HAE_wh65_Coniophora_marmorata"
"71","A38_SRE_ss4_Neocamarosporium_sp"
"72","A38_SRE_ss4_Neocamarosporium_sp"
"73","A29_APEsh8_Pestalotiopsis_vismiae"
"74","A29_APEsh8_Pestalotiopsis_vismiae"
"75","A31_APE_sh5_Nigrospora_oryzae"
"76","A31_APE_sh5_Nigrospora_oryzae"
"77","A3_PFE_SH7_Rosellinia_limonispora"
"78","A3_PFE_SH7_Rosellinia_limonispora"
"79","A11_PSE_wh40_Dimorphosporicola_tragani"
"80","A11_PSE_wh40_Dimorphosporicola_tragani"
"81","A21_HAE_we5_Coniolariella_sp"
"82","A21_HAE_we5_Coniolariella_sp"
"83","A33_LAE_sh5_Coniolariella_ershadii"
"84","A33_LAE_sh5_Coniolariella_ershadii"
"85","A1_APEse5_Staphylotrichum_coccosporum"
"86","A1_APEse5_Staphylotrichum_coccosporum"
"87","A48_SRE_sh7_Chaetomium_cucumericola"
"88","A48_SRE_sh7_Chaetomium_cucumericola"
"89","A14_PSE_we4_Chaetomium_globosum"
"90","A14_PSE_we4_Chaetomium_globosum"
"91","A25_HAE_se9_Chaetomium_nigricolor"
"92","A25_HAE_se9_Chaetomium_nigricolor"
"93","A42_SRE_wh13_"
"94","A42_SRE_wh13_"
"95","A18_LAE_se5_Sordaria_humana"
"96","A18_LAE_se5_Sordaria_humana"
"97","A15_PSE_se8_Podospora_minicauda"
"98","A15_PSE_se8_Podospora_minicauda"
