tip lable,Only in saline soils ,Only in Dry soils ,soilfactor
A25_SRE_wh19_Neocamarosporium_goegapense,111,0,Only in saline soils 
A36_SRE_ss4_Neocamarosporium_sp,105,0,Only in saline soils 
A4_LRE_wh64_Neocamarosporium_chichastianum,877,0,Only in saline soils 
A12_PSE_wh66_Comoclathris_italica,53,0,Only in saline soils 
A15_PSE_se8_Alternaria_sp,0,115,Only in Dry soils
A8_SIE_sh1_Briansuttonomyces_eucalypti,141,123,Both soil types
A16_LDE_se7_Coniothyrium_aleuritis,0,108,Only in Dry soils
A18_HAE_se5_Chaetosphaeronema_sp,301,199,Both soil types
A33_LAE_se3_Murisphaeosphaeria_ambrosiae,84,0,Only in saline soils 
A32_LAE_se3_Neosetophoma_sp,0,125,Only in Dry soils
A34_LAE_sh1_Acrocalymma_sp,76,0,Only in saline soils 
A9_RAE_sh12_Acrocalymma_vagum,217,135,Both soil types
A24_HAE_se1_Acrocalymma_sp,0,220,Only in Dry soils
A6_THEwe10_Aporospora_sp,0,172,Only in Dry soils
A39_SRE_wh16_Paracamarosporium_sp,254,180,Both soil types
A26_APE_sh6_Dictyosporium_digitatum,103,0,Only in saline soils 
A11_PSE_wh40_Dimorphosporicola_sp,303,0,Only in saline soils 
A35_SRE_wh30_Preussia_sp,218,0,Only in saline soils 
A30_SRE_wh18_Preussia_sp,42,0,Only in saline soils 
A5_SRE_wh22_Preussia_sp,22,0,Only in saline soils 
A43_SRE_sh9_Preussia_sp,56,0,Only in saline soils 
A20_HAE_wh26_Preussia_sp,394,0,Only in saline soils 
A10_PSE_wh14_Preussia_sp,202,0,Only in saline soils 
A2_TPEsh8_Humicola_fuscoatra,321,214,Both soil types
A22_HAE_wh65_Coniophora_sp,301,0,Only in saline soils 
A42_SRE_we10_pichia_kudriavzevii,0,88,Only in Dry soils
A44_SRE_sh4_Penicillium_sp,51,0,Only in saline soils 
A17_LAE_se5_Asordaria_humana,186,86,Both soil types
A23_HAE_se9_Chaetomium_sp,0,222,Only in Dry soils
A37_SRE_ws8_Botryotrichum_sp,0,48,Only in Dry soils
A40_SRE_wh13_,151,99,Both soil types
A14_PSE_se8_Podospora_minicauda,0,135,Only in Dry soils
A46_SRE_sh7_Chaetomium_sp,22,0,Only in saline soils 
A13_PSE_we4_Chaetomium_sp,0,252,Only in Dry soils
A1_APEse5_Staphylotrichum_sp,0,221,Only in Dry soils
A27_APEsh8_Pestalotiopsis_vismiae,89,0,Only in saline soils 
A29_APE_sh5_Nigrospora_oryzae,72,0,Only in saline soils 
A3_PFE_SH7_Rosellinia_sp,866,0,Only in saline soils 
A31_LAE_sh5_Coniolariella_sp,93,0,Only in saline soils 
A19_HAE_we5_Coniolariella_sp,0,269,Only in Dry soils
A38_SRE_ws10_Sarocladium_kiliense,0,30,Only in Dry soils
A21_HAE_wh10_Raffaelea_montetyi,589,0,Only in saline soils 
A45_SRE_sh3_Trichoderma_rifaii,62,0,Only in saline soils 
A41_SRE_we6_Fusariella_sp,164,184,Both soil types
A7_THE_ss3_Fusarium_sp,166,0,Only in saline soils 
A47_SRE_sh5_Fusarium_redolens,103,0,Only in saline soils 
A28_APE_se3_Dactylonectria_macrodidyma,0,82,Only in Dry soils
