"","x"
"1","A25_SRE_wh19_Neocamarosporium_goegapense"
"2","A25_SRE_wh19_Neocamarosporium_goegapense"
"3","A36_SRE_ss4_Neocamarosporium_sp"
"4","A36_SRE_ss4_Neocamarosporium_sp"
"5","A4_LRE_wh64_Neocamarosporium_chichastianum"
"6","A4_LRE_wh64_Neocamarosporium_chichastianum"
"7","A12_PSE_wh66_Comoclathris_italica"
"8","A12_PSE_wh66_Comoclathris_italica"
"9","A15_PSE_se8_Alternaria_sp"
"10","A15_PSE_se8_Alternaria_sp"
"11","A8_SIE_sh1_Briansuttonomyces_eucalypti"
"12","A8_SIE_sh1_Briansuttonomyces_eucalypti"
"13","A16_LDE_se7_Coniothyrium_aleuritis"
"14","A16_LDE_se7_Coniothyrium_aleuritis"
"15","A18_HAE_se5_Chaetosphaeronema_sp"
"16","A18_HAE_se5_Chaetosphaeronema_sp"
"17","A33_LAE_se3_Murisphaeosphaeria_ambrosiae"
"18","A33_LAE_se3_Murisphaeosphaeria_ambrosiae"
"19","A32_LAE_se3_Neosetophoma_sp"
"20","A32_LAE_se3_Neosetophoma_sp"
"21","A34_LAE_sh1_Acrocalymma_sp"
"22","A34_LAE_sh1_Acrocalymma_sp"
"23","A9_RAE_sh12_Acrocalymma_vagum"
"24","A9_RAE_sh12_Acrocalymma_vagum"
"25","A24_HAE_se1_Acrocalymma_sp"
"26","A24_HAE_se1_Acrocalymma_sp"
"27","A6_THEwe10_Aporospora_sp"
"28","A6_THEwe10_Aporospora_sp"
"29","A39_SRE_wh16_Paracamarosporium_sp"
"30","A39_SRE_wh16_Paracamarosporium_sp"
"31","A26_APE_sh6_Dictyosporium_digitatum"
"32","A26_APE_sh6_Dictyosporium_digitatum"
"33","A11_PSE_wh40_Dimorphosporicola_sp"
"34","A11_PSE_wh40_Dimorphosporicola_sp"
"35","A35_SRE_wh30_Preussia_sp"
"36","A35_SRE_wh30_Preussia_sp"
"37","A30_SRE_wh18_Preussia_sp"
"38","A30_SRE_wh18_Preussia_sp"
"39","A5_SRE_wh22_Preussia_sp"
"40","A5_SRE_wh22_Preussia_sp"
"41","A43_SRE_sh9_Preussia_sp"
"42","A43_SRE_sh9_Preussia_sp"
"43","A20_HAE_wh26_Preussia_sp"
"44","A20_HAE_wh26_Preussia_sp"
"45","A10_PSE_wh14_Preussia_sp"
"46","A10_PSE_wh14_Preussia_sp"
"47","A2_TPEsh8_Humicola_fuscoatra"
"48","A2_TPEsh8_Humicola_fuscoatra"
"49","A22_HAE_wh65_Coniophora_sp"
"50","A22_HAE_wh65_Coniophora_sp"
"51","A42_SRE_we10_pichia_kudriavzevii"
"52","A42_SRE_we10_pichia_kudriavzevii"
"53","A44_SRE_sh4_Penicillium_sp"
"54","A44_SRE_sh4_Penicillium_sp"
"55","A17_LAE_se5_Asordaria_humana"
"56","A17_LAE_se5_Asordaria_humana"
"57","A23_HAE_se9_Chaetomium_sp"
"58","A23_HAE_se9_Chaetomium_sp"
"59","A37_SRE_ws8_Botryotrichum_sp"
"60","A37_SRE_ws8_Botryotrichum_sp"
"61","A40_SRE_wh13_"
"62","A40_SRE_wh13_"
"63","A14_PSE_se8_Podospora_minicauda"
"64","A14_PSE_se8_Podospora_minicauda"
"65","A46_SRE_sh7_Chaetomium_sp"
"66","A46_SRE_sh7_Chaetomium_sp"
"67","A13_PSE_we4_Chaetomium_sp"
"68","A13_PSE_we4_Chaetomium_sp"
"69","A1_APEse5_Staphylotrichum_sp"
"70","A1_APEse5_Staphylotrichum_sp"
"71","A27_APEsh8_Pestalotiopsis_vismiae"
"72","A27_APEsh8_Pestalotiopsis_vismiae"
"73","A29_APE_sh5_Nigrospora_oryzae"
"74","A29_APE_sh5_Nigrospora_oryzae"
"75","A3_PFE_SH7_Rosellinia_sp"
"76","A3_PFE_SH7_Rosellinia_sp"
"77","A31_LAE_sh5_Coniolariella_sp"
"78","A31_LAE_sh5_Coniolariella_sp"
"79","A19_HAE_we5_Coniolariella_sp"
"80","A19_HAE_we5_Coniolariella_sp"
"81","A38_SRE_ws10_Sarocladium_kiliense"
"82","A38_SRE_ws10_Sarocladium_kiliense"
"83","A21_HAE_wh10_Raffaelea_montetyi"
"84","A21_HAE_wh10_Raffaelea_montetyi"
"85","A45_SRE_sh3_Trichoderma_rifaii"
"86","A45_SRE_sh3_Trichoderma_rifaii"
"87","A41_SRE_we6_Fusariella_sp"
"88","A41_SRE_we6_Fusariella_sp"
"89","A7_THE_ss3_Fusarium_sp"
"90","A7_THE_ss3_Fusarium_sp"
"91","A47_SRE_sh5_Fusarium_redolens"
"92","A47_SRE_sh5_Fusarium_redolens"
"93","A28_APE_se3_Dactylonectria_macrodidyma"
"94","A28_APE_se3_Dactylonectria_macrodidyma"
